k,method,N,M,eps,x0,y0,phase_bins,dist_bins,group_every,block_size,exact,mean,bias,std,variance,rmse,variance_ratio_vs_mc,mse_ratio_vs_mc,time_ms,time_ratio_vs_mc,work_ratio_vs_mc,mean_steps,mean_max_steps,mean_truncated
1,mc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,0.1302737913234005,0.13032368461808863,4.9893294688130307e-05,0.016232410282750218,0.00026349114358753507,0.016216627324711221,1,1,320.54500000000002,1,1,13.432626724243164,61.662109375,0
1,pathwise-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,0.1302737913234005,0.13047505887055233,0.00020126754715182882,0.0092108151684898894,8.4839116068083427e-05,0.0092040166935446963,0.32198090194974166,0.32213189159170053,507.65890000000002,1.5837367608292128,0.50993299070275222,13.440570831298828,59.869140625,0
1,bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,0.1302737913234005,0.13042165511375958,0.00014786379035908181,0.010118935263715517,0.00010239285087126543,0.010110129995945008,0.38860073047293614,0.38868019058451453,439.31760000000003,1.3705333104556303,0.53259024558054924,13.433486938476562,61.861328125,0
1,block-bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,0.1302737913234005,0.1314652624895063,0.0011914711661057953,0.0097462094407484313,9.4988598462933852e-05,0.0098093158475105937,0.36050015636057781,0.36589490697657839,466.49770000000001,1.4553267091983964,0.52464550622174699,13.413976669311523,62.912109375,0
4,mc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00077226641121387065,-0.0018758400582870563,-0.0011035736470731857,0.017346397285100974,0.00030089749877255847,0.017364552488900568,1,1,276.52120000000002,1,1,13.459926605224609,62.09375,0
4,pathwise-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00077226641121387065,7.8349186328566649e-05,0.00085061559754243728,0.013782759379225089,0.00018996445610561715,0.013795541985441114,0.63132613890289246,0.63117580677937601,479.48869999999999,1.7340033964846093,1.0947216691471295,13.447412490844727,58.9921875,0
4,bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00077226641121387065,-0.0011823232070120519,-0.00041005679579818126,0.012414985864969389,0.00015413187402738975,0.012409632620940475,0.51224046280256552,0.51072916484195163,489.05070000000001,1.768583023652436,0.90593978654048435,13.434001922607422,62.16796875,0
4,block-bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00077226641121387065,-0.00074201378370759624,3.0252627506274408e-05,0.014163073758458928,0.00020059265828754791,0.014149268213349447,0.66664780899083276,0.66395824386211011,568.83199999999999,2.0571008660457135,1.3713617852225195,13.453769683837891,61.310546875,0
8,mc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00015007491096331223,0.00014432464753731721,0.00029439955850062941,0.018168442912081396,0.00033009231784956073,0.018153079005813484,1,1,332.01740000000001,1,1,13.440580368041992,62.201171875,0
8,pathwise-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00015007491096331223,0.0001381828128245152,0.0002882577237878274,0.015671792756070464,0.00024560508818922267,0.015659134179981871,0.74404969430750878,0.74410615250049739,549.5652,1.6552301174576995,1.2315734629029831,13.436016082763672,59.7578125,0
8,bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00015007491096331223,-0.00078367957779396915,-0.00063360466683065695,0.013709240024462423,0.00018794326204832243,0.013710493799949866,0.56936575583675775,0.57043425566090422,552.30740000000003,1.6634893231499313,0.94713385580163723,13.443538665771484,62.541015625,0
8,block-bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,-0.00015007491096331223,-0.0012780891741161011,-0.0011280142631527889,0.014392836897605725,0.00020715375396108078,0.014422952990398738,0.62756308692858132,0.63125928692460787,573.35649999999998,1.7268869041200852,1.0837304763261417,13.435571670532227,61.806640625,0
16,mc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,2.2163040140538457e-08,-0.00091804052766517161,-0.00091806269070531215,0.017658813973221065,0.0003118337109408275,0.017665432341955615,1,1,313.53840000000002,1,1,13.438812255859375,61.634765625,0
16,pathwise-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,2.2163040140538457e-08,-0.0016426889529058478,-0.0016427111159459883,0.015469050830676132,0.00023929153360204193,0.015540999553951728,0.76736903422045055,0.77394367330427705,522.00019999999995,1.6648684818191326,1.2775685189976154,13.441696166992188,59.931640625,0
16,bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,2.2163040140538457e-08,0.00074504988119323125,0.0007450277181530907,0.01490623594905597,0.00022219587016892854,0.014910297118462161,0.71254602171954295,0.71240023483125681,516.56380000000001,1.6475296167869709,1.1739406741066791,13.435346603393555,61.734375,0
16,block-bucketed-rqmc,1024,512,0.0001,0.65000000000000002,0.37,16,1,1,128,2.2163040140538457e-08,-0.00041511773464192992,-0.00041513989768207047,0.016476317551428237,0.00027146904005550214,0.016465453781213897,0.87055706464980365,0.86875809999610243,560.37850000000003,1.7872723085912283,1.5559225346970578,13.439695358276367,61.826171875,0
